web_scraper_order,web_scraper_start_url,pagination,title,data,data2,data3,data4
"1776950156-1","https://almokhtabar.com/en/testspackages/","","CPK - Total","EGP 330","cardiac enzyme,  requested when feeling chest pain","330","Add to Cart"
"1776950156-2","https://almokhtabar.com/en/testspackages/","","Amylase","EGP 435","pancreatic enzyme, requested in cases of pancreatitis and acute abdominal pain","435","Add to Cart"
"1776950156-3","https://almokhtabar.com/en/testspackages/","","Lipase","EGP 490","pancreatic enzyme, requested in cases of pancreatitis and acute abdominal pain","490","Add to Cart"
"1776950156-4","https://almokhtabar.com/en/testspackages/","","Fasting Blood Glucose","EGP 165","requested in cases of routinel check up , diagnosis and follow up of diabetes","165","Add to Cart"
"1776950156-5","https://almokhtabar.com/en/testspackages/","","Blood Urea","EGP 180","one of the kidney function tests","180","Add to Cart"
"1776950156-6","https://almokhtabar.com/en/testspackages/","","Alk.phosphatase","EGP 220","one of the liver function tests. Normally elevated in childhood and adolescence","220","Add to Cart"
"1776950156-7","https://almokhtabar.com/en/testspackages/","","Bilirubin ( T&D )","EGP 345","one of the liver function tests,  it is requested in cases ofneonatal jaundice.","345","Add to Cart"
"1776950156-8","https://almokhtabar.com/en/testspackages/","","BUN","EGP 180","one of the kidney function tests","180","Add to Cart"
"1776950156-9","https://almokhtabar.com/en/testspackages/","","Calcium","EGP 260","it is  requested with vitamin D, part of routine check up specially in children or adults above 50 yrs., can be ordered for bone aches and renal patients","260","Add to Cart"
"1776950156-10","https://almokhtabar.com/en/testspackages/","","Chloride","EGP 260","one of the most important electrolytes, it is part of kidney function tests","260","Add to Cart"
"1776950156-11","https://almokhtabar.com/en/testspackages/","","Creatinine, serum","EGP 165","one of the kidney function tests","165","Add to Cart"
"1776950156-12","https://almokhtabar.com/en/testspackages/","","Gamma GT","EGP 245","one of the liver function tests, it is an indicator for liver obstruction","245","Add to Cart"
"1776950156-13","https://almokhtabar.com/en/testspackages/","","HDL-C","EGP 190","part of the lipid profile, the protective against heart dideases and atherosclerosis, requested in routine check up and diabetes","190","Add to Cart"
"1776950156-14","https://almokhtabar.com/en/testspackages/","","Phosphorous","EGP 250","requested with vitamin D, part of routine check up specially in children or adults above 50 yrs., can be ordered for bone aches and renal patients","250","Add to Cart"
"1776950156-15","https://almokhtabar.com/en/testspackages/","","K+","EGP 255","part of kidney function test, can be requested for hypertension and heart disease patients","255","Add to Cart"
"1776950156-16","https://almokhtabar.com/en/testspackages/","","SGOT (AST)","EGP 165","one of the liver function tests, can be used in diagnosis of some types of anaemia","165","Add to Cart"
"1776950156-17","https://almokhtabar.com/en/testspackages/","","SGPT (ALT)","EGP 165","one of the liver function tests","165","Add to Cart"
"1776950156-18","https://almokhtabar.com/en/testspackages/","","Na","EGP 255","one of the most important electrolytes, it is also a part of kidney function test and is also required for hypertension and heart disease patients","255","Add to Cart"
"1776950156-19","https://almokhtabar.com/en/testspackages/","","Triglyceride","EGP 235","Part of the lipid profile, requested in routine check up and for diabetitic patients","235","Add to Cart"
"1776950156-20","https://almokhtabar.com/en/testspackages/","","ASOT","EGP 435","diagnosis of streptococcus in cases of tonsilitis","435","Add to Cart"
"1776950156-21","https://almokhtabar.com/en/testspackages/","","Blood Grouping (ABO&Rh)","EGP 370","requested for  operations, pregnancy follow up, routine check up","370","Add to Cart"
"1776950156-22","https://almokhtabar.com/en/testspackages/","","Coomb's Test ""Direct""","EGP 460","diagnostic for some cases of haemolytic anaemia","460","Add to Cart"
"1776950156-23","https://almokhtabar.com/en/testspackages/","","HBsAg by Chemiluminescent technology","EGP 480","Diagnosis of HBV, requested for  operations, blood transfusion and for check up","480","Add to Cart"
"1776950156-24","https://almokhtabar.com/en/testspackages/","","HIV Antibody (AIDS Test)","EGP 760","Diagnosis of HIV, requested for operations, blood transfusion and for check up","760","Add to Cart"
"1776950156-25","https://almokhtabar.com/en/testspackages/","","Reticulocytic Count","EGP 210","diagnosis and follow up of  some cases of  anaemia","210","Add to Cart"
"1776950156-26","https://almokhtabar.com/en/testspackages/","","VDRL","EGP 625","diagnosis of  sexually transmitted diseases","625","Add to Cart"
"1776950156-27","https://almokhtabar.com/en/testspackages/","","Protein in 24 hrs Urine","EGP 290","diagnosis and follow up of renal condition, can be requested in case of diabetes follow up","290","Add to Cart"
"1776950156-28","https://almokhtabar.com/en/testspackages/","","Creatinine Clearance","EGP 495","diagnosis and follow up of renal condition, can be requested in case of diabetes follow up","495","Add to Cart"
"1776950156-29","https://almokhtabar.com/en/testspackages/","","CRP (Quantitative)","EGP 400","diagnosis of the bacterial infection, related to the severity of infection or inflammation","400","Add to Cart"
"1776950156-30","https://almokhtabar.com/en/testspackages/","","Vitamin B12 (Cyanocobalamin) Level in  serum","EGP 2115","requested in routine check up,  diabetic patient children and pregnent women","2115","Add to Cart"
"1776950156-31","https://almokhtabar.com/en/testspackages/","","Estradiol E2 in serum","EGP 475","used in cases of female infertility and IVF","475","Add to Cart"
"1776950156-32","https://almokhtabar.com/en/testspackages/","","Folic Acid Level in serum","EGP 1805","requested for routine check up, children, pregnant women and some cases of anaemia","1805","Add to Cart"
"1776950156-33","https://almokhtabar.com/en/testspackages/","","FSH(Follicle Stimulating Hormone) in serum","EGP 425","used in diagnosis of some cases of menstrual disturbances, female and male infertility","425","Add to Cart"
"1776950156-34","https://almokhtabar.com/en/testspackages/","","Free T3  in serum","EGP 385","one of thyroid function tests, required from patients suffering from weight disorder or heart arrhythmia","385","Add to Cart"
"1776950156-35","https://almokhtabar.com/en/testspackages/","","Free T4  in serum","EGP 385","one of thyroid function tests, required from patients suffering from weight disorder or heart arrhythmia","385","Add to Cart"
"1776950156-36","https://almokhtabar.com/en/testspackages/","","TSH in  serum","EGP 385","one of thyroid function tests, required from patients suffering from weight disorder or heart arrhythmia","385","Add to Cart"
"1776950156-37","https://almokhtabar.com/en/testspackages/","","Total HCG (Quantitative)","EGP 465","to determine the exact date of pregnancy, used for diagnosis of cancer testis in male","465","Add to Cart"
"1776950156-38","https://almokhtabar.com/en/testspackages/","","Homocysteine ""Serum""","EGP 1235","cardiac marker","1235","Add to Cart"
"1776950156-39","https://almokhtabar.com/en/testspackages/","","Insulin (Fasting)  in serum","EGP 495","diagnosis of  type 1 diabetes and insulin resistance","495","Add to Cart"
"1776950156-40","https://almokhtabar.com/en/testspackages/","","Insulin after 2 hours in serum","EGP 495","diagnosis of  type 1 diabetes and insulin resistance","495","Add to Cart"
"1776950156-41","https://almokhtabar.com/en/testspackages/","","LH(Luteinizing Hormone) in serum","EGP 465","diagnosis and follow up of male and female infertility","465","Add to Cart"
"1776950156-42","https://almokhtabar.com/en/testspackages/","","Progesterone in serum","EGP 460","diagnosis and follow up of male and female infertility","460","Add to Cart"
"1776950156-43","https://almokhtabar.com/en/testspackages/","","Prolactin in serum","EGP 420","diagnostic for pituitary gland dysfunctions","420","Add to Cart"
"1776950156-44","https://almokhtabar.com/en/testspackages/","","PSA-Total","EGP 715","diagnostic test for prostatic enlargement or cancer screening, routine check up in men above 40 yrs.","715","Add to Cart"
"1776950156-45","https://almokhtabar.com/en/testspackages/","","Testosterone  in  serum","EGP 430","male infertility cases, for poly cystic ovaries and hairsutism in females","430","Add to Cart"
"1776950156-46","https://almokhtabar.com/en/testspackages/","","Clotting Time (CT)","EGP 175","bleeding tendency, bluish discolouration of the skin","175","Add to Cart"
"1776950156-47","https://almokhtabar.com/en/testspackages/","","Prothrombin Time (PT)","EGP 305","bleeding tendency, bluish discolouration of the skin","305","Add to Cart"
"1776950156-48","https://almokhtabar.com/en/testspackages/","","Activated  Partial Thromboplastine  Time APTT","EGP 300","bleeding tendency, bluish discolouration of the skin","300","Add to Cart"
"1776950156-49","https://almokhtabar.com/en/testspackages/","","Stool Analysis","EGP 185","diagnosis of parasitic infestation","185","Add to Cart"
"1776950156-50","https://almokhtabar.com/en/testspackages/","","Occult Blood In Stool","EGP 325","diagnosis of some GIT inflammatory cases","325","Add to Cart"
"1776950156-51","https://almokhtabar.com/en/testspackages/","","17-Alpha Hydroxyprogesterone in serum","EGP 775","for sex check in case of child and for females with ovulation problem","775","Add to Cart"
"1776950156-52","https://almokhtabar.com/en/testspackages/","","ACE in Serum","EGP 2090","diagnostic test for hyper tension especially with heart and lung diseases","2090","Add to Cart"
"1776950156-53","https://almokhtabar.com/en/testspackages/","","ACTH am  in plasma","EGP 560","pituitary gland hormone, required for certain cases of increased weight","560","Add to Cart"
"1776950156-54","https://almokhtabar.com/en/testspackages/","","Amphetamine Screen","EGP 690","drugs abuse screen test, required for  pre-employement/drivers check up","690","Add to Cart"
"1776950156-55","https://almokhtabar.com/en/testspackages/","","ANCA (Cytoplasmic)","EGP 2005","for diagnosis of some immunological diseases","2005","Add to Cart"
"1776950156-56","https://almokhtabar.com/en/testspackages/","","HAV IgG","EGP 495","previous infection of HAV","495","Add to Cart"
"1776950156-57","https://almokhtabar.com/en/testspackages/","","HBc, total","EGP 430","diagnosis of HCV, required for pre-operative preparation, blood transfusion, routine check up","430","Add to Cart"
"1776950156-58","https://almokhtabar.com/en/testspackages/","","HBc IgM","EGP 430","diadnosis of HCV, required for pre-operative preparation, blood transfusion, routine check up","430","Add to Cart"
"1776950156-59","https://almokhtabar.com/en/testspackages/","","ASMA","EGP 895","for diagnosis of some immunological diseases","895","Add to Cart"
"1776950156-60","https://almokhtabar.com/en/testspackages/","","Anti Thyroglobulin Ab.","EGP 655","one of thyroid function tests, required from patients suffering from weight disorder or heart arrhythmia","655","Add to Cart"
"1776950156-61","https://almokhtabar.com/en/testspackages/","","C-Peptide (Fasting) in serum","EGP 950","diagnosis of type 1 diabetes, insulin resistance","950","Add to Cart"
"1776950156-62","https://almokhtabar.com/en/testspackages/","","C3","EGP 495","immunity test","495","Add to Cart"
"1776950156-63","https://almokhtabar.com/en/testspackages/","","C4","EGP 515","immunity test","515","Add to Cart"
"1776950156-64","https://almokhtabar.com/en/testspackages/","","CA 19-9","EGP 1090","GIT inflammation, screening of colon cancer","1090","Add to Cart"
"1776950156-65","https://almokhtabar.com/en/testspackages/","","Anti-Cardiolipin IgG (ACL)","EGP 710","repeated abortion, pre eclampsia and risk of thrombosis","710","Add to Cart"
"1776950156-66","https://almokhtabar.com/en/testspackages/","","Anti-Cardiolipin IgM (ACL)","EGP 630","repeated abortion, pre eclampsia and risk of thrombosis","630","Add to Cart"
"1776950156-67","https://almokhtabar.com/en/testspackages/","","Anti C.C.P. Antibodies","EGP 1715","diagnosis of RA","1715","Add to Cart"
"1776950156-68","https://almokhtabar.com/en/testspackages/","","Ceruloplasmin","EGP 605","diagnosis of some metabolic disorders","605","Add to Cart"
"1776950156-69","https://almokhtabar.com/en/testspackages/","","CMV IgG","EGP 400","previous infection of CMV, required in pregnancy, repeated abortion, children","400","Add to Cart"
"1776950156-70","https://almokhtabar.com/en/testspackages/","","CMV IgM","EGP 470","recent infection of CMV, required in pregnancy, repeated abortion, children","470","Add to Cart"
"1776950156-71","https://almokhtabar.com/en/testspackages/","","Cortisol-Am in serum","EGP 515","diagnosis of adrenal gland affection, some cases of increased wight","515","Add to Cart"
"1776950156-72","https://almokhtabar.com/en/testspackages/","","Cortisol-Pm in serum","EGP 515","diagnosis of adrenal gland affection, some cases of increased wight","515","Add to Cart"
"1776950156-73","https://almokhtabar.com/en/testspackages/","","D-dimer","EGP 1380","haematological disorders, tendency for thrombosis","1380","Add to Cart"
"1776950156-74","https://almokhtabar.com/en/testspackages/","","DHEA-S ( Dehydroepiandrosterone Sulfate ) in serum","EGP 590","diagnosis and follow up of PCOS, disturbed menstrual cycle or hairsudism","590","Add to Cart"
"1776950156-75","https://almokhtabar.com/en/testspackages/","","ADNA (ds)","EGP 1065","diagnostic test of some immunological diseases","1065","Add to Cart"
"1776950156-76","https://almokhtabar.com/en/testspackages/","","Toxicology panel","EGP 1580","drugs abuse screening test, pre-employement","1580","Add to Cart"
"1776950156-77","https://almokhtabar.com/en/testspackages/","","EBV IgM (VCA-IgM)","EGP 505","recent infection with EBV, required also for pregnent women, repeated abortion, children","505","Add to Cart"
"1776950156-78","https://almokhtabar.com/en/testspackages/","","Ferritin","EGP 570","used in some cases of anaemia, renal diseases and severe inflammation","570","Add to Cart"
"1776950156-79","https://almokhtabar.com/en/testspackages/","","Fibrinogen Level","EGP 420","hamatological disorders","420","Add to Cart"
"1776950156-80","https://almokhtabar.com/en/testspackages/","","Fungus Culture","EGP 925","fungal infection","925","Add to Cart"
"1776950156-81","https://almokhtabar.com/en/testspackages/","","G6PD Quantitative","EGP 820","diagnosis of favism","820","Add to Cart"
"1776950156-82","https://almokhtabar.com/en/testspackages/","","Helicobacter pylori antibody","EGP 1060","diagnostic test for helico bacter pylori bacteria in blood, used in gastritis, GIT disturbances","1060","Add to Cart"
"1776950156-83","https://almokhtabar.com/en/testspackages/","","HBeAg","EGP 385","HBV follow up, pre-operative or blood transfusion","385","Add to Cart"
"1776950156-84","https://almokhtabar.com/en/testspackages/","","HLA-B27 typing","EGP 1400","diagnosis of some cases of arthritis","1400","Add to Cart"
"1776950156-85","https://almokhtabar.com/en/testspackages/","","IgA","EGP 650","immunity test","650","Add to Cart"
"1776950156-86","https://almokhtabar.com/en/testspackages/","","IgG","EGP 565","immunity test","565","Add to Cart"
"1776950156-87","https://almokhtabar.com/en/testspackages/","","IgM","EGP 535","immunity test","535","Add to Cart"
"1776950156-88","https://almokhtabar.com/en/testspackages/","","Complete Blood Picture (CBC)","EGP 375","diagnosis of haematological disordes, routine check up fo all age groups, pregnancy, pre-operative","375","Add to Cart"
"1776950156-89","https://almokhtabar.com/en/testspackages/","","ESR","EGP 230","elevated in any type of inflammation, non-specific test","230","Add to Cart"
"1776950156-90","https://almokhtabar.com/en/testspackages/","","Platelet Count","EGP 235","bluish skin discoloration, liver diseases, bleeding tendency","235","Add to Cart"
"1776950156-91","https://almokhtabar.com/en/testspackages/","","ANA","EGP 650","immunity test","650","Add to Cart"
"1776950156-92","https://almokhtabar.com/en/testspackages/","","HAV IgM","EGP 495","recent infection of HAV","495","Add to Cart"
"1776950156-93","https://almokhtabar.com/en/testspackages/","","WIDAL Test","EGP 470","diagnosis of typhoid, GIT symptoms and fever","470","Add to Cart"
"1776950156-94","https://almokhtabar.com/en/testspackages/","","Urine Analysis","EGP 165","urine analysis","165","Add to Cart"
"1776950156-95","https://almokhtabar.com/en/testspackages/","","Semen Analysis","EGP 400","semen analysis","400","Add to Cart"
"1776950156-96","https://almokhtabar.com/en/testspackages/","","Protein Electrophoresis in Serum","EGP 590","detection of protein synthesis abnormalities, used in liver and some haematological diseases","590","Add to Cart"
"1776950156-97","https://almokhtabar.com/en/testspackages/","","Protein - total","EGP 210","liver function test","210","Add to Cart"
"1776950156-98","https://almokhtabar.com/en/testspackages/","","Cytological examination","EGP 765","biological liquid sample","765","Add to Cart"
