web_scraper_order,web_scraper_start_url,pagination,title,data,data2,data3,data4
"1776950156-140","https://almokhtabar.com/en/testspackages/","","Sputum Culture and Sensitivity","EGP 465","sputum culture","465","Add to Cart"
"1776950156-141","https://almokhtabar.com/en/testspackages/","","Throat Swab Cutlure and Sensitivity","EGP 590","throat swab culture","590","Add to Cart"
"1776950156-142","https://almokhtabar.com/en/testspackages/","","Vaginal Discharge Culture and sensitivity","EGP 905","cervical culture when cervical infections recur","905","Add to Cart"
"1776950156-143","https://almokhtabar.com/en/testspackages/","","Manual Blood culture and Sensitivity","EGP 650","blood culture","650","Add to Cart"
"1776950156-144","https://almokhtabar.com/en/testspackages/","","Pus Culture and Sensitivity (Aerobic and anaerobic)","EGP 925","pus culture","925","Add to Cart"
"1776950156-145","https://almokhtabar.com/en/testspackages/","","Semen Culture and Sensitivity","EGP 515","semen culture","515","Add to Cart"
"1776950156-146","https://almokhtabar.com/en/testspackages/","","Barbiturates Screen","EGP 700","sedative analysis","700","Add to Cart"
"1776950156-147","https://almokhtabar.com/en/testspackages/","","Benzodiazepine Screen","EGP 700","examination of sleeping medications","700","Add to Cart"
"1776950156-148","https://almokhtabar.com/en/testspackages/","","Tacrolimus ( FK506 ) Trough","EGP 1955","follow up of the dose of treatment after kidney transplantation","1955","Add to Cart"
"1776950156-149","https://almokhtabar.com/en/testspackages/","","IgE ""Total""","EGP 565","allergy tests","565","Add to Cart"
"1776950156-150","https://almokhtabar.com/en/testspackages/","","Beta Subunit HCG (Qualitative)","EGP 190","qualitative pregnancy test, determines the exact date of pregnancy","190","Add to Cart"
"1776950156-151","https://almokhtabar.com/en/testspackages/","","Helicobacter Pylori Antigen In Stool (Qualitative)","EGP 1575","Helicobacter pylori analysis","1575","Add to Cart"
"1776950156-152","https://almokhtabar.com/en/testspackages/","","HCV Ab by Chemiluminescent technology","EGP 670","diagnosis of HCV","670","Add to Cart"
"1776950156-153","https://almokhtabar.com/en/testspackages/","","HBe Ab","EGP 400","HBV diagnosis, pre-operative or blood transfusion","400","Add to Cart"
"1776950156-154","https://almokhtabar.com/en/testspackages/","","HBs Ab","EGP 405","indicates whether a vaccination has been taken or in need of a booster dose of the B virus vaccination","405","Add to Cart"
"1776950156-155","https://almokhtabar.com/en/testspackages/","","CRP (Qualitative)","EGP 260","used to determine the severity of inflammation","260","Add to Cart"
"1776950156-156","https://almokhtabar.com/en/testspackages/","","Helicobacter pylori antibody Titre","EGP 1645","quantitative H. pylori antibody analysis, used in follow-up treatment of the microbe","1645","Add to Cart"
"1776950156-157","https://almokhtabar.com/en/testspackages/","","RF (Quantitative)","EGP 630","quantitative rheumatoid analysis","630","Add to Cart"
